ID,SHOP,GENDER,AGE,M.S.,NCHILD,INCOME,S.E.G.,MAINSHOP,BUYFOOD,AMOUNT,PAYBY,REGULAR,VISITS
200,1,1,,2,5,41172,1,1,1,70.12999725,2,1,1
201,5,0,26,2,5,19116,3,1,1,92.63999939,2,1,2
202,2,0,20,2,2,17640,4,0,1,27.38999939,1,1,3
203,5,1,30,2,2,18012,3,1,1,44.88999939,1,1,2
204,5,0,31,2,4,19380,3,0,1,29.79999924,2,1,2
205,1,0,29,2,1,14460,4,1,1,68.04000092,1,1,2
206,4,1,25,2,1,19824,3,1,1,33.83000183,2,1,3
207,4,0,46,2,0,28044,2,1,1,38.09999847,2,1,3
208,1,1,,2,2,15024,4,1,1,56.45999908,1,1,1
209,4,1,22,1,0,11472,4,1,1,31.94000053,1,0,0
210,3,0,21,2,2,,5,1,1,36.56999969,1,0,0
211,4,0,27,2,4,,4,1,1,43.91999817,1,1,3
212,5,1,58,2,2,15576,4,0,1,16.12000084,1,1,1
213,5,0,68,4,1,24588,2,0,1,52.81999969,2,1,2
214,4,0,38,2,4,21288,3,1,1,89.47000122,1,1,5
215,5,0,27,2,5,10332,5,1,1,75.41000366,1,1,3
216,4,1,,2,2,30780,2,1,1,57.43999863,2,1,1
217,3,0,33,3,3,11760,5,1,1,54.40999985,1,1,2
218,4,0,23,2,2,23136,3,1,1,49.25999832,1,1,2
219,4,1,58,2,0,27192,2,1,0,34.70000076,2,1,4
220,5,1,41,2,1,17832,3,0,1,17.54999924,1,1,1
221,5,1,36,2,2,11088,5,1,1,81.16000366,3,1,2
222,5,0,31,2,4,14496,3,1,1,68.09999847,2,1,3
223,3,1,52,2,2,20856,3,1,1,51.13999939,2,1,2
224,2,0,37,3,4,11304,4,1,1,55.40999985,1,0,0
225,4,0,24,2,3,14568,3,1,1,71.47000122,2,1,2
226,4,0,22,2,1,13764,4,1,1,40.18999863,1,1,4
227,2,0,32,1,1,10476,4,1,1,48.13999939,1,1,3
228,4,0,25,1,0,11328,4,0,1,19.51000023,1,1,2
229,5,1,26,1,0,12480,5,1,1,50.77999878,1,1,3
230,4,0,41,2,1,26424,2,1,1,62.65000153,2,1,3
231,1,0,54,3,2,16356,4,1,0,78.33999634,3,1,4
232,5,1,,2,4,21336,3,1,1,54.04999924,2,1,2
233,5,0,28,3,2,11220,5,1,1,21.97999954,1,1,4
234,3,0,42,3,0,,4,1,1,48.20999908,1,1,2
235,2,0,26,2,4,9204,5,1,1,70.37999725,1,1,2
236,1,0,27,1,0,18240,3,1,1,35.90000153,1,1,1
237,5,0,43,1,2,24648,3,1,1,47.45999908,2,1,1
238,1,1,32,1,0,10788,4,0,1,30.82999992,1,1,2
239,5,0,25,2,1,15216,4,1,1,28.27000046,1,1,3
240,2,0,43,2,2,10716,5,0,1,16.29000092,1,1,2
241,3,1,43,2,2,12588,4,1,1,43.34000015,1,1,4
242,5,0,30,3,1,14472,4,1,1,32.27999878,1,0,0
243,1,0,,2,4,13860,3,1,1,31.37000084,1,1,2
244,4,0,29,2,2,,5,1,1,48.97000122,1,1,2
245,4,0,18,1,0,12924,4,1,1,55.40000153,1,1,5
246,4,1,29,2,2,19308,3,1,1,50.16999817,2,1,3
247,5,1,49,4,0,15336,5,1,1,31.78000069,1,1,3
248,5,0,25,2,2,17436,4,1,1,37.68999863,1,1,2
249,3,0,58,4,3,21696,3,0,1,69.48999786,1,1,2
250,5,0,29,2,1,18636,3,0,1,48.29000092,1,1,2
251,4,0,50,2,4,28848,2,0,1,42.63999939,2,1,3
252,1,1,34,3,0,22200,3,0,1,36.02999878,2,1,2
253,1,0,49,2,5,34032,2,1,1,76.54000092,2,1,5
254,3,0,25,1,2,10344,4,1,1,49.77000046,1,1,5
255,5,0,,2,3,,4,1,1,55.61999893,1,1,1
256,5,0,25,2,1,19284,3,0,1,44.02999878,2,1,1
257,4,0,30,2,0,23988,3,1,0,57.34999847,2,1,2
258,4,0,22,2,1,17256,4,1,1,76.05999756,1,0,0
259,2,0,19,2,1,19548,3,1,1,46.66999817,2,1,1
260,2,0,30,2,2,18540,3,0,1,14.61999989,2,1,4
261,3,1,,1,0,12648,4,1,1,47.43999863,1,1,1
262,4,1,37,2,5,11496,4,0,1,34.24000168,1,1,2
263,4,1,,2,1,18264,3,1,1,70.08000183,1,1,2
264,5,1,29,2,1,11700,4,1,1,57.54000092,1,0,0
265,5,0,49,2,3,25836,2,1,1,74.80999756,2,1,3
266,5,0,42,2,2,16140,4,1,0,56.13999939,1,1,2
267,5,0,18,1,0,17436,4,1,1,29.34000015,1,1,4
268,4,0,47,2,2,20436,3,1,1,56.24000168,2,1,2
269,4,1,39,2,4,16644,3,1,1,73.54000092,2,1,2
270,3,0,19,1,1,7860,5,1,1,69.84999847,1,1,3
